15541A0241,RT31023,POWER SYSTEMS-II,20,6,0
15541A0241,RT31024,ELECTRICAL MACHINES-III,18,0,0
15541A0241,RT31025,POWER ELECTRONICS,22,-1,0
15541A0241,RT31026,LINEAR & DIGITAL IC APPLICATIONS,17,10,0
15541A0243,RT31016,IPR & PATENTS,5,38,2
15541A0243,RT31022,MEFA,19,30,3
15541A0243,RT31025,POWER ELECTRONICS,16,8,0
15541A0244,RT31016,IPR & PATENTS,20,35,2
15541A0244,RT31021,ELECTRICAL MEASUREMENTS,25,21,0
15541A0246,RT31021,ELECTRICAL MEASUREMENTS,21,10,0
15541A0248,RT31016,IPR & PATENTS,28,26,2
15541A0250,RT31023,POWER SYSTEMS-II,21,0,0
15541A0252,RT31016,IPR & PATENTS,24,32,2
15541A0256,RT31024,ELECTRICAL MACHINES-III,26,9,0
15541A0256,RT31025,POWER ELECTRONICS,23,20,0
15541A0257,RT31016,IPR & PATENTS,21,36,2
15541A0257,RT31021,ELECTRICAL MEASUREMENTS,22,-1,0
15541A0257,RT31026,LINEAR & DIGITAL IC APPLICATIONS,16,14,0
15541A0258,RT31023,POWER SYSTEMS-II,28,-1,0
15541A0259,RT31016,IPR & PATENTS,5,28,0
15541A0259,RT31021,ELECTRICAL MEASUREMENTS,11,8,0
15541A0259,RT31023,POWER SYSTEMS-II,7,0,0
15541A0259,RT31024,ELECTRICAL MACHINES-III,7,7,0
15541A0259,RT31025,POWER ELECTRONICS,7,6,0
15541A0302,RT31031,DYNAMICS OF MACHINERY,26,16,0
15541A0302,RT31033,DESIGN OF MACHINE MEMBERS-I,19,28,3
15541A0305,RT31033,DESIGN OF MACHINE MEMBERS-I,27,46,3
15541A0306,RT31034,INSTRUMENTATION & CONTROL SYSTEMS,25,48,3
15541A0308,RT31031,DYNAMICS OF MACHINERY,23,30,3
15541A0309,RT31035,THERMAL ENGINEERING-II,23,12,0
15541A0310,RT31031,DYNAMICS OF MACHINERY,18,17,0
15541A0310,RT31035,THERMAL ENGINEERING-II,20,12,0
15541A0314,RT31031,DYNAMICS OF MACHINERY,23,18,0
15541A0314,RT31035,THERMAL ENGINEERING-II,27,30,3
15541A0319,RT31031,DYNAMICS OF MACHINERY,29,19,0
15541A0319,RT31034,INSTRUMENTATION & CONTROL SYSTEMS,23,39,3
15541A0319,RT31036,METROLOGY,20,29,3
15541A0320,RT31031,DYNAMICS OF MACHINERY,23,10,0
15541A0320,RT31032,METAL CUTTING & MACHINE TOOLS,15,26,3
15541A0320,RT31033,DESIGN OF MACHINE MEMBERS-I,19,27,3
15541A0320,RT31036,METROLOGY,17,24,3
15541A0324,RT31033,DESIGN OF MACHINE MEMBERS-I,25,12,0
15541A0324,RT31034,INSTRUMENTATION & CONTROL SYSTEMS,18,25,3
15541A0326,RT31031,DYNAMICS OF MACHINERY,9,-1,0
15541A0326,RT31032,METAL CUTTING & MACHINE TOOLS,16,15,0
15541A0326,RT31033,DESIGN OF MACHINE MEMBERS-I,17,10,0
15541A0326,RT31035,THERMAL ENGINEERING-II,19,29,3
15541A0326,RT31036,METROLOGY,18,-1,0
15541A0329,RT31032,METAL CUTTING & MACHINE TOOLS,16,7,0
15541A0329,RT31034,INSTRUMENTATION & CONTROL SYSTEMS,17,13,0
15541A0329,RT31035,THERMAL ENGINEERING-II,17,8,0
15541A0331,RT31016,IPR & PATENTS,17,26,2
15541A0331,RT31031,DYNAMICS OF MACHINERY,15,0,0
15541A0331,RT31032,METAL CUTTING & MACHINE TOOLS,16,0,0
15541A0331,RT31033,DESIGN OF MACHINE MEMBERS-I,16,5,0
15541A0331,RT31034,INSTRUMENTATION & CONTROL SYSTEMS,13,6,0
15541A0331,RT31035,THERMAL ENGINEERING-II,25,7,0
15541A0331,RT31036,METROLOGY,16,15,0
15541A0332,RT31031,DYNAMICS OF MACHINERY,26,18,0
15541A0332,RT31032,METAL CUTTING & MACHINE TOOLS,20,18,0
15541A0332,RT31034,INSTRUMENTATION & CONTROL SYSTEMS,21,28,3
15541A0333,RT31031,DYNAMICS OF MACHINERY,15,8,0
15541A0333,RT31032,METAL CUTTING & MACHINE TOOLS,15,25,3
15541A0333,RT31033,DESIGN OF MACHINE MEMBERS-I,16,13,0
15541A0333,RT31034,INSTRUMENTATION & CONTROL SYSTEMS,23,25,3
15541A0333,RT31035,THERMAL ENGINEERING-II,20,27,3
15541A0333,RT31036,METROLOGY,16,24,3
15541A0335,RT31031,DYNAMICS OF MACHINERY,22,29,3
15541A0336,RT31032,METAL CUTTING & MACHINE TOOLS,20,31,3
15541A0336,RT31036,METROLOGY,18,25,3
15541A0337,RT31032,METAL CUTTING & MACHINE TOOLS,22,29,3
15541A0339,RT31035,THERMAL ENGINEERING-II,25,32,3
15541A0341,RT31031,DYNAMICS OF MACHINERY,22,23,0
15541A0341,RT31034,INSTRUMENTATION & CONTROL SYSTEMS,20,23,0
