13541A0309,RT42032,GREEN ENGINEERING SYSTEMS,19,34,3
13541A0309,RT42033D,POWER PLANT ENGINEERING,23,17,0
13541A0309,RT42034A,NON DESTRUCTIVE EVALUATION,26,37,3
13541A0309,RT42035,PROJECT WORK,53,132,9
13541A0310,RT42031,PRODUCTION PLANNING AND CONTROL,18,26,3
13541A0310,RT42032,GREEN ENGINEERING SYSTEMS,20,35,3
13541A0310,RT42033D,POWER PLANT ENGINEERING,19,2,0
13541A0310,RT42034A,NON DESTRUCTIVE EVALUATION,16,37,3
13541A0310,RT42035,PROJECT WORK,50,130,9
13541A0311,RT42031,PRODUCTION PLANNING AND CONTROL,20,52,3
13541A0311,RT42032,GREEN ENGINEERING SYSTEMS,21,37,3
13541A0311,RT42033D,POWER PLANT ENGINEERING,19,28,3
13541A0311,RT42034A,NON DESTRUCTIVE EVALUATION,19,49,3
13541A0311,RT42035,PROJECT WORK,56,133,9
13541A0312,RT42031,PRODUCTION PLANNING AND CONTROL,22,54,3
13541A0312,RT42032,GREEN ENGINEERING SYSTEMS,20,30,3
13541A0312,RT42033D,POWER PLANT ENGINEERING,26,30,3
13541A0312,RT42034A,NON DESTRUCTIVE EVALUATION,21,48,3
13541A0312,RT42035,PROJECT WORK,59,137,9
13541A0313,RT42031,PRODUCTION PLANNING AND CONTROL,22,31,3
13541A0313,RT42032,GREEN ENGINEERING SYSTEMS,19,46,3
13541A0313,RT42033D,POWER PLANT ENGINEERING,25,24,3
13541A0313,RT42034A,NON DESTRUCTIVE EVALUATION,21,36,3
13541A0313,RT42035,PROJECT WORK,58,135,9
13541A0314,RT42031,PRODUCTION PLANNING AND CONTROL,25,42,3
13541A0314,RT42032,GREEN ENGINEERING SYSTEMS,23,64,3
13541A0314,RT42033D,POWER PLANT ENGINEERING,26,31,3
13541A0314,RT42034A,NON DESTRUCTIVE EVALUATION,22,45,3
13541A0314,RT42035,PROJECT WORK,59,137,9
13541A0315,RT42031,PRODUCTION PLANNING AND CONTROL,20,58,3
13541A0315,RT42032,GREEN ENGINEERING SYSTEMS,19,31,3
13541A0315,RT42033D,POWER PLANT ENGINEERING,22,27,3
13541A0315,RT42034A,NON DESTRUCTIVE EVALUATION,21,51,3
13541A0315,RT42035,PROJECT WORK,58,135,9
13541A0316,RT42031,PRODUCTION PLANNING AND CONTROL,23,48,3
13541A0316,RT42032,GREEN ENGINEERING SYSTEMS,22,34,3
13541A0316,RT42033D,POWER PLANT ENGINEERING,26,29,3
13541A0316,RT42034A,NON DESTRUCTIVE EVALUATION,25,41,3
13541A0316,RT42035,PROJECT WORK,59,137,9
