54677,14541A0237,RT31025,POWER ELECTRONICS,27,36,3,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54678,14541A0238,RT31025,POWER ELECTRONICS,26,30,3,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54679,14541A0240,RT31021,ELECTRICAL MEASUREMENTS,20,29,3,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54680,14541A0240,RT31025,POWER ELECTRONICS,25,26,3,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54681,14541A0303,RT31032,METAL CUTTING & MACHINE TOOLS,20,40,3,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54682,14541A0313,RT31032,METAL CUTTING & MACHINE TOOLS,17,28,3,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54683,14541A0315,RT31031,DYNAMICS OF MACHINERY,25,23,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54684,14541A0316,RT31036,METROLOGY,19,11,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54685,14541A0317,RT31032,METAL CUTTING & MACHINE TOOLS,18,0,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54686,14541A0317,RT31033,DESIGN OF MACHINE MEMBERS-I,18,7,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54687,14541A0317,RT31035,THERMAL ENGINEERING-II,22,-1,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54688,14541A0319,RT31016,IPR & PATENTS,22,29,2,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54689,14541A0319,RT31031,DYNAMICS OF MACHINERY,25,24,3,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54690,14541A0319,RT31032,METAL CUTTING & MACHINE TOOLS,19,27,3,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54691,14541A0319,RT31033,DESIGN OF MACHINE MEMBERS-I,21,27,3,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54692,14541A0319,RT31034,INSTRUMENTATION & CONTROL SYSTEMS,23,24,3,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54693,14541A0319,RT31035,THERMAL ENGINEERING-II,19,31,3,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54694,14541A0319,RT31036,METROLOGY,17,30,3,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54695,14541A0319,RT31037,METROLOGY & INSTRUMENTATION LAB,19,43,2,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54696,14541A0319,RT31038,MACHINE TOOLS LAB,22,44,2,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54697,14541A0320,RT31016,IPR & PATENTS,13,24,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54698,14541A0320,RT31031,DYNAMICS OF MACHINERY,9,7,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54699,14541A0320,RT31033,DESIGN OF MACHINE MEMBERS-I,18,-1,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54700,14541A0323,RT31036,METROLOGY,17,42,3,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54701,14541A0324,RT31031,DYNAMICS OF MACHINERY,17,17,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54702,14541A0324,RT31034,INSTRUMENTATION & CONTROL SYSTEMS,25,30,3,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54703,14541A0325,RT31031,DYNAMICS OF MACHINERY,26,31,3,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54704,14541A0327,RT31032,METAL CUTTING & MACHINE TOOLS,22,43,3,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54705,14541A0328,RT31031,DYNAMICS OF MACHINERY,19,13,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54706,14541A0328,RT31035,THERMAL ENGINEERING-II,25,16,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54707,14541A0328,RT31036,METROLOGY,20,12,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54708,14541A0332,RT31032,METAL CUTTING & MACHINE TOOLS,20,26,3,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54709,14541A0333,RT31031,DYNAMICS OF MACHINERY,28,24,3,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54710,14541A0333,RT31034,INSTRUMENTATION & CONTROL SYSTEMS,21,25,3,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54711,14541A0336,RT31032,METAL CUTTING & MACHINE TOOLS,25,27,3,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54712,14541A0342,RT31031,DYNAMICS OF MACHINERY,23,21,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54713,14541A0347,RT31032,METAL CUTTING & MACHINE TOOLS,13,10,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54714,14541A0351,RT31031,DYNAMICS OF MACHINERY,25,18,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54715,14541A0352,RT31032,METAL CUTTING & MACHINE TOOLS,21,15,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54716,14541A0355,RT31031,DYNAMICS OF MACHINERY,25,18,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54717,14541A0359,RT31031,DYNAMICS OF MACHINERY,19,9,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54718,14541A0359,RT31032,METAL CUTTING & MACHINE TOOLS,16,18,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54719,14541A0359,RT31036,METROLOGY,17,24,3,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54720,14541A0361,RT31031,DYNAMICS OF MACHINERY,16,7,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54721,14541A0361,RT31032,METAL CUTTING & MACHINE TOOLS,14,0,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54722,14541A0361,RT31033,DESIGN OF MACHINE MEMBERS-I,11,7,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
54723,14541A0361,RT31035,THERMAL ENGINEERING-II,10,9,0,31,Results For III B.TECH I Semester Regular/Supplementary Examinations Nov-2017
