73006,13541A0333,RT21033,THERMODYNAMICS,18,-1,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73007,13541A0336,RT21031,METALLURGY & MATERIALS SCIENCE,12,0,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73008,13541A0336,RT21032,MECHANICS OF SOLIDS,16,-1,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73009,13541A0336,RT21033,THERMODYNAMICS,13,0,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73010,13541A0336,RT21034,MANAGERIAL ECONOMICS & FINANCIAL ANALYSIS,22,-1,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73011,13541A0340,RT21032,MECHANICS OF SOLIDS,13,7,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73012,13541A0340,RT21033,THERMODYNAMICS,11,10,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73013,13541A0403,RT21044,SIGNALS AND SYSTEMS,19,15,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73014,13541A0411,RT21041,ELECTRONIC DEVICES AND CIRCUITS,17,38,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73015,13541A0423,RT21044,SIGNALS AND SYSTEMS,18,12,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73016,13541A0429,RT21044,SIGNALS AND SYSTEMS,23,29,3,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73017,13541A0502,RT21034,MANAGERIAL ECONOMICS & FINANCIAL ANALYSIS,16,9,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73018,13541A0502,RT21042,DATA STRUCTURES,17,0,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73019,13541A0502,RT21051,OBJECT ORIENTED PROGRAMMING THROUGH C++,21,8,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73020,13541A0502,RT21052,MATHEMATICAL FOUNDATIONS OF COMLUTER SCIENC,18,0,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73021,13541A0502,RT21053,DIGITAL LOGIC DESIGN,19,14,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
73022,13541A0508,RT21052,MATHEMATICAL FOUNDATIONS OF COMLUTER SCIENC,19,0,0,21,Results For II B.TECH I Semester Supplementary Examinations May-2017
