129477,14541A0235,R13202,MATHEMATICS-III,12,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129478,14541A0235,R13205,C PROGRAMMING,11,31,3,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129479,14541A0236,R13205,C PROGRAMMING,21,32,3,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129480,14541A0240,R13205,C PROGRAMMING,16,19,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129481,14541A0304,R13209,ENGG. DRAWING,24,49,3,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129482,14541A0305,R13203,ENGG. PHYSICS,14,7,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129483,14541A0309,R13203,ENGG. PHYSICS,15,12,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129484,14541A0310,R13203,ENGG. PHYSICS,15,9,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129485,14541A0313,R13203,ENGG. PHYSICS,11,8,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129486,14541A0317,R13202,MATHEMATICS-III,12,13,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129487,14541A0317,R13203,ENGG. PHYSICS,11,12,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129488,14541A0317,R13207,MATHEMATICS-II (MM),9,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129489,14541A0317,R13209,ENGG. DRAWING,20,29,3,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129490,14541A0323,R13203,ENGG. PHYSICS,14,14,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129491,14541A0326,R13202,MATHEMATICS-III,12,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129492,14541A0326,R13203,ENGG. PHYSICS,8,7,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129493,14541A0328,R13203,ENGG. PHYSICS,11,6,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129494,14541A0328,R13209,ENGG. DRAWING,23,33,3,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129495,14541A0330,R13202,MATHEMATICS-III,14,19,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129496,14541A0330,R13209,ENGG. DRAWING,18,13,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129497,14541A0332,R13203,ENGG. PHYSICS,17,8,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129498,14541A0333,R13203,ENGG. PHYSICS,8,8,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129499,14541A0336,R13203,ENGG. PHYSICS,17,7,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129500,14541A0339,R13203,ENGG. PHYSICS,12,13,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129501,14541A0342,R13202,MATHEMATICS-III,14,9,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129502,14541A0342,R13209,ENGG. DRAWING,28,23,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129503,14541A0360,R13203,ENGG. PHYSICS,11,12,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129504,14541A0361,R13202,MATHEMATICS-III,12,13,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129505,14541A0361,R13203,ENGG. PHYSICS,12,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129506,14541A0361,R13207,MATHEMATICS-II (MM),10,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129507,14541A0363,R13203,ENGG. PHYSICS,16,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129508,14541A0364,R13202,MATHEMATICS-III,15,21,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129509,14541A0364,R13203,ENGG. PHYSICS,12,6,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129510,14541A0365,R13203,ENGG. PHYSICS,9,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129511,14541A0365,R13209,ENGG. DRAWING,24,32,3,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129512,14541A0370,R13203,ENGG. PHYSICS,11,12,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129513,14541A0370,R13209,ENGG. DRAWING,19,18,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129514,14541A0378,R13202,MATHEMATICS-III,11,9,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129515,14541A0378,R13203,ENGG. PHYSICS,14,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129516,14541A0378,R13207,MATHEMATICS-II (MM),13,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129517,14541A0378,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,16,43,3,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129518,14541A0378,R13209,ENGG. DRAWING,23,32,3,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129519,14541A0383,R13202,MATHEMATICS-III,13,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129520,14541A0388,R13203,ENGG. PHYSICS,17,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
129521,14541A0388,R13209,ENGG. DRAWING,27,34,3,12,Results For I B.TECH II Semester Supplementary Examinations Nov-2017(Marks)
