107232,13541A0340,RT32031,OPERATIONS RESEARCH,17,26,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2016
107233,13541A0340,RT32032,INTERACTIVE COMPUTER GRAPHICS,18,24,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2016
107234,13541A0340,RT32033,DESIGN OF MACHINE MEMBERS  II,16,10,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2016
107235,13541A0340,RT32035,HEAT TRANSFER,22,32,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2016
107236,13541A0408,RT32042,DIGITAL SIGNAL PROCESSING,25,12,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2016
107237,13541A0410,RT32042,DIGITAL SIGNAL PROCESSING,23,2,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2016
107238,13541A0410,RT32043,DIGITAL COMMUNICATIONS,23,29,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2016
107239,13541A0411,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,20,14,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2016
107240,13541A0413,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,21,29,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2016
107241,13541A0413,RT32045A,BIO MEDICAL ENGINEERING,24,2,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2016
107242,13541A0415,RT32042,DIGITAL SIGNAL PROCESSING,21,29,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2016
107243,13541A0420,RT32042,DIGITAL SIGNAL PROCESSING,18,14,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2016
107244,13541A0421,RT32042,DIGITAL SIGNAL PROCESSING,20,7,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2016
107245,13541A0423,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,22,30,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2016
107246,13541A0424,RT32045A,BIO MEDICAL ENGINEERING,18,12,0,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2016
107247,13541A0427,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,22,29,3,32,Results For III B.TECH II Semester Supplementary Examinations Nov-2016
