103176,11541A0518,R21054,DIGITAL LOGIC DESIGN,2,20,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103177,11541A0521,R21052,PROBABILITY & STATISTICS,16,35,4,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103178,,,,,,,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103179,11541A0521,R21054,DIGITAL LOGIC DESIGN,5,36,4,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103180,11541A0529,R21053,MATHEMATICAL FOUN. OF COMP.  SCI. AND EN,11,39,4,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103181,11541A0529,R21054,DIGITAL LOGIC DESIGN,6,37,4,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103182,12541A0204,R21026,ELECTRONIC DEVICES AND CIRCUITS,5,5,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103183,12541A0205,R21021,FLUID MECHANICS & HYDRAULIC MACHINES,13,17,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103184,12541A0205,R21025,ELECTRICAL MACHINES-I,16,19,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103185,12541A0304,R21013,ELECTRICAL AND ELECTRONICS ENGINEERING,10,42,4,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103186,12541A0304,R21032,THERMODYNAMICS,18,3,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103187,12541A0405,R21026,ELECTRONIC DEVICES AND CIRCUITS,15,9,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103188,12541A0405,R21041,ELECTRICAL TECHNOLOGY,19,38,4,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103189,12541A0405,R21042,NETWORK ANALYSIS,17,5,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103190,12541A0405,R21044,SIGNALS & SYSTEMS,11,4,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103191,12541A0408,R21022,MANAGERIAL ECONOMICS AND FINANCIAL ANALY,12,42,4,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103192,12541A0410,R21026,ELECTRONIC DEVICES AND CIRCUITS,10,-1,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103193,12541A0410,R21041,ELECTRICAL TECHNOLOGY,13,-1,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103194,12541A0410,R21042,NETWORK ANALYSIS,14,-1,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103195,12541A0410,R21043,PROBABILITY THEORY & STOCHASTIC PROCESSE,13,-1,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103196,12541A0410,R21044,SIGNALS & SYSTEMS,8,-1,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103197,12541A0416,R21022,MANAGERIAL ECONOMICS AND FINANCIAL ANALY,5,40,4,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103198,12541A0416,R21042,NETWORK ANALYSIS,13,9,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103199,12541A0416,R21043,PROBABILITY THEORY & STOCHASTIC PROCESSE,14,36,4,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103200,12541A0417,R21026,ELECTRONIC DEVICES AND CIRCUITS,13,-1,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103201,12541A0417,R21044,SIGNALS & SYSTEMS,8,-1,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103202,12541A0418,R21026,ELECTRONIC DEVICES AND CIRCUITS,11,15,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103203,12541A0418,R21042,NETWORK ANALYSIS,10,0,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103204,12541A0418,R21043,PROBABILITY THEORY & STOCHASTIC PROCESSE,13,6,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103205,12541A0426,R21026,ELECTRONIC DEVICES AND CIRCUITS,13,4,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103206,12541A0426,R21043,PROBABILITY THEORY & STOCHASTIC PROCESSE,19,28,4,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103207,13541A0304,RT21032,MECHANICS OF SOLIDS,20,25,3,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103208,13541A0306,RT21032,MECHANICS OF SOLIDS,14,12,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103209,13541A0307,RT21032,MECHANICS OF SOLIDS,19,11,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103210,13541A0308,RT21033,THERMODYNAMICS,15,34,3,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103211,13541A0309,RT21032,MECHANICS OF SOLIDS,18,2,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103212,13541A0310,RT21032,MECHANICS OF SOLIDS,18,0,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103213,13541A0310,RT21033,THERMODYNAMICS,17,11,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103214,13541A0311,RT21033,THERMODYNAMICS,15,30,3,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103215,13541A0312,RT21033,THERMODYNAMICS,16,32,3,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103216,13541A0315,RT21032,MECHANICS OF SOLIDS,18,7,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103217,13541A0315,RT21033,THERMODYNAMICS,20,34,3,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103218,13541A0318,RT21032,MECHANICS OF SOLIDS,17,9,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103219,13541A0319,RT21032,MECHANICS OF SOLIDS,18,8,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103220,13541A0319,RT21033,THERMODYNAMICS,14,14,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103221,13541A0322,RT21032,MECHANICS OF SOLIDS,17,8,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103222,13541A0329,RT21032,MECHANICS OF SOLIDS,14,0,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103223,13541A0329,RT21033,THERMODYNAMICS,17,6,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103224,13541A0332,RT21033,THERMODYNAMICS,9,25,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103225,13541A0334,RT21011,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,20,4,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103226,13541A0334,RT21032,MECHANICS OF SOLIDS,16,5,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103227,13541A0338,RT21033,THERMODYNAMICS,11,34,3,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103228,13541A0339,RT21033,THERMODYNAMICS,14,34,3,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103229,13541A0403,RT21044,SIGNALS AND SYSTEMS,19,2,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103230,,,,,,,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103231,13541A0404,RT21041,ELECTRONIC DEVICES AND CIRCUITS,11,13,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103232,13541A0404,RT21044,SIGNALS AND SYSTEMS,16,-1,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103233,13541A0404,RT21045,ELECTRICAL TECHNOLOGY,17,6,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103234,13541A0411,RT21041,ELECTRONIC DEVICES AND CIRCUITS,17,10,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103235,13541A0411,RT21044,SIGNALS AND SYSTEMS,22,35,3,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103236,13541A0423,RT21044,SIGNALS AND SYSTEMS,18,0,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103237,13541A0429,RT21044,SIGNALS AND SYSTEMS,23,12,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103238,13541A0502,RT21034,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,16,8,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103239,13541A0502,RT21042,DATA STRUCTURES,17,0,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103240,13541A0502,RT21051,OBJECT ORIENTED PROGRAMMING THROUGH C++,21,7,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103241,13541A0502,RT21052,MATHEMATICAL FOUNDATIONS OF COMLUTER SCI,18,15,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103242,13541A0502,RT21053,DIGITAL LOGIC DESIGN,19,3,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103243,13541A0504,RT21051,OBJECT ORIENTED PROGRAMMING THROUGH C++,19,0,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103244,13541A0507,RT21052,MATHEMATICAL FOUNDATIONS OF COMLUTER SCI,23,26,3,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103245,13541A0508,RT21052,MATHEMATICAL FOUNDATIONS OF COMLUTER SCI,19,10,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103246,13545A0403,R21042,NETWORK ANALYSIS,14,5,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103247,13545A0403,R21043,PROBABILITY THEORY & STOCHASTIC PROCESSE,19,12,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103248,13545A0411,R21043,PROBABILITY THEORY & STOCHASTIC PROCESSE,18,13,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103249,13545A0414,R21022,MANAGERIAL ECONOMICS AND FINANCIAL ANALY,14,40,4,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103250,13545A0414,R21026,ELECTRONIC DEVICES AND CIRCUITS,13,8,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103251,13545A0414,R21041,ELECTRICAL TECHNOLOGY,16,34,4,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103252,13545A0414,R21043,PROBABILITY THEORY & STOCHASTIC PROCESSE,19,46,4,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103253,13545A0414,R21044,SIGNALS & SYSTEMS,15,0,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103254,14541A0228,RT21025,ELECTRO MAGNETIC FIELDS,16,-1,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103255,14541A0228,RT21026,ELECTRICAL MACHINES-I,21,-1,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
103256,14541A0235,RT21026,ELECTRICAL MACHINES-I,21,14,0,21,Results For II B.TECH I Semester Regular/Supplementary Examinations Nov-2016
