80084,14541A0235,R13204,ENGG. CHEMISTRY,10,50,3,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80085,14541A0235,R13205,C PROGRAMMING,11,8,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80086,14541A0236,R13205,C PROGRAMMING,21,16,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80087,14541A0239,R13210,ENGG. MECHANICS,22,44,3,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80088,14541A0240,R13204,ENGG. CHEMISTRY,10,58,3,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80089,14541A0240,R13205,C PROGRAMMING,16,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80090,14541A0304,R13209,ENGG. DRAWING,24,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80091,14541A0305,R13203,ENGG. PHYSICS,14,8,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80092,14541A0309,R13203,ENGG. PHYSICS,15,21,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80093,14541A0310,R13203,ENGG. PHYSICS,15,11,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80094,14541A0313,R13203,ENGG. PHYSICS,11,16,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80095,14541A0317,R13202,MATHEMATICS-III,12,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80096,14541A0317,R13203,ENGG. PHYSICS,11,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80097,14541A0317,R13207,MATHEMATICS-II (MM),9,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80098,14541A0317,R13209,ENGG. DRAWING,20,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80099,14541A0318,R13202,MATHEMATICS-III,13,32,3,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80100,14541A0318,R13203,ENGG. PHYSICS,19,24,3,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80101,14541A0323,R13203,ENGG. PHYSICS,14,22,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80102,14541A0328,R13203,ENGG. PHYSICS,11,10,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80103,14541A0328,R13207,MATHEMATICS-II (MM),13,28,3,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80104,14541A0328,R13209,ENGG. DRAWING,23,22,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80105,14541A0330,R13202,MATHEMATICS-III,14,14,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80106,14541A0330,R13209,ENGG. DRAWING,18,23,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80107,14541A0332,R13203,ENGG. PHYSICS,17,13,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80108,14541A0333,R13203,ENGG. PHYSICS,8,9,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80109,14541A0342,R13202,MATHEMATICS-III,14,8,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80110,14541A0342,R13209,ENGG. DRAWING,28,23,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80111,14541A0347,R13202,MATHEMATICS-III,12,8,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80112,14541A0347,R13203,ENGG. PHYSICS,14,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80113,14541A0347,R13209,ENGG. DRAWING,21,17,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80114,14541A0359,R13201,ENGLISH-II,19,31,3,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80115,14541A0359,R13209,ENGG. DRAWING,26,17,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80116,14541A0360,R13203,ENGG. PHYSICS,11,14,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80117,14541A0361,R13202,MATHEMATICS-III,12,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80118,14541A0361,R13203,ENGG. PHYSICS,12,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80119,14541A0361,R13207,MATHEMATICS-II (MM),10,6,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80120,14541A0361,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,9,33,3,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80121,14541A0363,R13203,ENGG. PHYSICS,16,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80122,14541A0364,R13202,MATHEMATICS-III,15,13,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80123,14541A0365,R13203,ENGG. PHYSICS,9,18,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80124,14541A0365,R13209,ENGG. DRAWING,24,22,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80125,14541A0370,R13203,ENGG. PHYSICS,11,10,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80126,14541A0370,R13209,ENGG. DRAWING,19,14,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80127,14541A0378,R13202,MATHEMATICS-III,11,8,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80128,14541A0378,R13203,ENGG. PHYSICS,14,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80129,14541A0378,R13207,MATHEMATICS-II (MM),13,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80130,14541A0378,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,16,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80131,14541A0378,R13209,ENGG. DRAWING,23,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80132,14541A0382,R13202,MATHEMATICS-III,10,6,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80133,14541A0382,R13207,MATHEMATICS-II (MM),11,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80134,14541A0382,R13209,ENGG. DRAWING,18,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80135,14541A0382,R13214,ENGINEERING PHYSICS LAB,0,35,2,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80136,14541A0382,R13216,ENGINEERING WORKSHOP & IT WORKSHOP,0,41,2,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80137,14541A0383,R13202,MATHEMATICS-III,13,13,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80138,14541A0388,R13203,ENGG. PHYSICS,17,7,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80139,14541A0388,R13209,ENGG. DRAWING,27,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80140,14541A0390,R13202,MATHEMATICS-III,12,7,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80141,14541A0390,R13203,ENGG. PHYSICS,17,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80142,14541A0390,R13207,MATHEMATICS-II (MM),14,28,3,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80143,14541A0390,R13209,ENGG. DRAWING,22,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80144,14541A0394,R13202,MATHEMATICS-III,12,17,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80145,14541A0394,R13207,MATHEMATICS-II (MM),15,20,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80146,14541A0394,R13209,ENGG. DRAWING,17,18,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80147,14541A0403,R13202,MATHEMATICS-III,17,6,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80148,14541A0403,R13210,ENGG. MECHANICS,21,13,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80149,14541A0410,R13202,MATHEMATICS-III,16,17,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80150,14541A0410,R13211,NETWORK ANALYSIS,23,12,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80151,14541A0412,R13204,ENGG. CHEMISTRY,19,42,3,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80152,14541A0412,R13211,NETWORK ANALYSIS,24,15,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80153,14541A0416,R13211,NETWORK ANALYSIS,19,7,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80154,14541A0417,R13204,ENGG. CHEMISTRY,9,24,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80155,14541A0417,R13210,ENGG. MECHANICS,18,30,3,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80156,14541A0417,R13211,NETWORK ANALYSIS,19,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80157,14541A0420,R13211,NETWORK ANALYSIS,21,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80158,14541A0421,R13204,ENGG. CHEMISTRY,13,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80159,14541A0425,R13210,ENGG. MECHANICS,21,30,3,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80160,14541A0433,R13202,MATHEMATICS-III,17,17,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80161,14541A0434,R13202,MATHEMATICS-III,15,11,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80162,14541A0434,R13204,ENGG. CHEMISTRY,12,39,3,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80163,14541A0434,R13210,ENGG. MECHANICS,22,19,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80164,14541A0434,R13211,NETWORK ANALYSIS,23,7,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80165,14541A0435,R13204,ENGG. CHEMISTRY,8,16,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80166,14541A0435,R13205,C PROGRAMMING,20,11,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80167,14541A0435,R13210,ENGG. MECHANICS,21,14,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80168,14541A0435,R13211,NETWORK ANALYSIS,21,19,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80169,14541A0437,R13204,ENGG. CHEMISTRY,9,35,3,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80170,14541A0440,R13202,MATHEMATICS-III,16,13,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80171,14541A0440,R13210,ENGG. MECHANICS,19,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80172,14541A0440,R13211,NETWORK ANALYSIS,24,16,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80173,14541A0442,R13202,MATHEMATICS-III,15,11,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80174,14541A0446,R13205,C PROGRAMMING,5,15,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80175,14541A0446,R13211,NETWORK ANALYSIS,17,8,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80176,14541A0446,R13213,ENGLISH-COMMUNICATION SKILLS LAB-II,0,47,2,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80177,14541A0446,R13217,ENGINEERING CHEMISTRY LAB,24,48,2,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80178,14541A0446,R13218,C PROGRAMMING LAB,0,45,2,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80179,14541A0456,R13202,MATHEMATICS-III,14,18,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80180,14541A0456,R13204,ENGG. CHEMISTRY,16,46,3,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80181,14541A0459,R13210,ENGG. MECHANICS,20,29,3,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80182,14541A0459,R13211,NETWORK ANALYSIS,23,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80183,14541A0463,R13210,ENGG. MECHANICS,15,7,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80184,14541A0463,R13211,NETWORK ANALYSIS,24,29,3,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80185,14541A0476,R13204,ENGG. CHEMISTRY,13,18,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80186,14541A0476,R13211,NETWORK ANALYSIS,22,38,3,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80187,14541A0482,R13204,ENGG. CHEMISTRY,15,9,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80188,14541A0501,R13202,MATHEMATICS-III,14,36,3,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80189,14541A0505,R13203,ENGG. PHYSICS,18,22,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80190,14541A0506,R13202,MATHEMATICS-III,13,31,3,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80191,14541A0506,R13207,MATHEMATICS-II (MM),14,28,3,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80192,14541A0510,R13202,MATHEMATICS-III,15,25,3,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80193,14541A0510,R13203,ENGG. PHYSICS,13,11,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80194,14541A0510,R13207,MATHEMATICS-II (MM),13,33,3,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80195,14541A0517,R13203,ENGG. PHYSICS,16,12,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80196,14541A0517,R13209,ENGG. DRAWING,27,11,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80197,14541A0526,R13202,MATHEMATICS-III,13,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80198,14541A0526,R13209,ENGG. DRAWING,21,14,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80199,14541A0529,R13203,ENGG. PHYSICS,16,18,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80200,14541A0533,R13203,ENGG. PHYSICS,11,0,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80201,14541A0534,R13209,ENGG. DRAWING,29,18,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80202,14541A0541,R13202,MATHEMATICS-III,15,18,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80203,14541A0541,R13203,ENGG. PHYSICS,19,21,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80204,14541A0545,R13203,ENGG. PHYSICS,19,6,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80205,14541A0547,R13203,ENGG. PHYSICS,5,9,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80206,14541A0549,R13202,MATHEMATICS-III,17,20,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80207,15541A0201,R13205,C PROGRAMMING,21,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80208,15541A0201,R13210,ENGG. MECHANICS,22,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80209,15541A0201,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,21,-1,0,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
80210,15541A0207,R13204,ENGG. CHEMISTRY,25,49,3,12,Results For I B.TECH II Semester Supplementary Examinations Apr-2017
